Université;Pays;Année;Accord;Nombre S7;Nombre S8;Nombre S9;Latitude;Longitude;;;;;;;;;;;;;;;;;
Hong Kong University;Chine;2013-2014;Bilatéral;0;0;1;22,26861;114,12924;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2013-2014;Bilatéral;0;1;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2013-2014;Bilatéral;0;3;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2013-2014;MEXFITEC;0;2;0;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2013-2014;MEXFITEC;0;2;0;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2013-2014;BRAFAGRI;0;1;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ";Brésil;2013-2014;BRAFAGRI;0;1;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2013-2014;ERASMUS;0;7;0;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2013-2014;ERASMUS;0;3;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2013-2014;ERASMUS;0;2;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2013-2014;ERASMUS;0;2;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
University of Helsinki ;Finlande;2013-2014;ERASMUS;0;4;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
Universita degli Studi di Padoue ;Italie;2013-2014;ERASMUS;0;1;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2013-2014;ERASMUS;0;4;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2013-2014;ERASMUS;0;4;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2013-2014;ERASMUS;0;4;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2013-2014;ERASMUS;0;3;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2013-2014;ERASMUS;0;2;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2013-2014;ERASMUS;0;5;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2013-2014;ERASMUS;0;1;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2014-2015;Bilatéral;0;0;1;0;0;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2014-2015;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2014-2015;Bilatéral;0;0;1;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2014-2015;Bilatéral;0;1;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2014-2015;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad de Buenos Aires;Argentine;2014-2015;ARFITEC;0;2;0;-34,5087115;-58,6883791;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2014-2015;MEXFITEC;0;0;1;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2014-2015;MEXFITEC;0;3;0;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2014-2015;BRAFAGRI;0;2;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ
";Brésil;2014-2015;BRAFAGRI;0;1;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
Universidade Estadual Paulista Julio de Mesquita Filho - UNESP;Brésil;2014-2015;BRAFITEC;0;1;0;-23,98138809;-48,88452911;;;;;;;;;;;;;;;;;
Universidade Federal Rural de Pernambuco;Brésil;2014-2015;BRAFAGRI;0;1;0;-8,0145172;-34,9508334;;;;;;;;;;;;;;;;;
Universitat Bonn;Allemagne;2014-2015;ERASMUS;0;1;0;50,7054928;7,1298492;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2014-2015;ERASMUS;0;1;1;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2014-2015;ERASMUS;0;3;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2014-2015;ERASMUS;0;2;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2014-2015;ERASMUS;0;2;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
"University of Helsinki 
";Finlande;2014-2015;ERASMUS;0;6;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
"Universita degli Studi di Padoue 
";Italie;2014-2015;ERASMUS;0;1;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2014-2015;ERASMUS;0;5;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2014-2015;ERASMUS;0;1;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2014-2015;ERASMUS;0;5;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2014-2015;ERASMUS;0;3;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2014-2015;ERASMUS;0;0;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2014-2015;ERASMUS;0;4;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universidad Politecnica de Valence;Espagne;2014-2015;ERASMUS;0;5;0;39,33333;-0,83333;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2014-2015;ERASMUS;0;2;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2014-2015;ERASMUS;0;1;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2015-2016;Bilatéral;0;0;2;22,26861;114,12924;;;;;;;;;;;;;;;;;
University of Georgie;USA;2015-2016;Bilatéral;0;0;1;33,9404278;-83,373049;;;;;;;;;;;;;;;;;
Université Laval;Canada;2015-2016;Bilatéral;0;0;1;46,7815396;-71,2765369;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2015-2016;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2015-2016;Bilatéral;0;0;0;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2015-2016;Bilatéral;0;5;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2015-2016;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad Nacional de Quilmes;Argentine;2015-2016;ARFAGRI;0;1;0;-34,7063811;-58,2785207;;;;;;;;;;;;;;;;;
Universidad Nacional del Litoral;Argentine;2015-2016;ARFAGRI;0;3;0;-31,6346852;-60,7051461;;;;;;;;;;;;;;;;;
